Instance,Income
111994,4.52E+04
111995,5.80E+04
111996,8.49E+04
111997,6.37E+04
111998,4.78E+04
111999,8.70E+04
112000,7.74E+04
112001,3.59E+04
112002,7.34E+04
112003,6.80E+04
112004,2.65E+04
112005,1.34E+04
112006,5.61E+04
112007,1.75E+04
112008,3.03E+04
112009,5.17E+04
112010,4.88E+04
112011,7.72E+04
112012,4.80E+04
112013,7.62E+04
112014,1.01E+05
112015,5.72E+04
112016,8.87E+04
112017,3.25E+04
112018,8.61E+04
112019,7.45E+04
112020,6.36E+04
112021,4.03E+04
112022,3.94E+04
112023,6.94E+04
112024,1.27E+04
112025,4.43E+04
112026,1.02E+05
112027,1.06E+05
112028,4.04E+04
112029,9.38E+04
112030,5.39E+04
112031,9.92E+04
112032,9.09E+04
112033,4.46E+04
112034,4.98E+04
112035,1.03E+05
112036,2.24E+04
112037,2.72E+04
112038,7.75E+04
112039,4.80E+04
112040,1.90E+04
112041,3.78E+04
112042,8.36E+04
112043,3.69E+04
112044,4.21E+04
112045,4.60E+04
112046,9.01E+04
112047,8.21E+04
112048,2.98E+04
112049,3.69E+04
112050,9.20E+04
112051,8.21E+04
112052,6.40E+04
112053,6.17E+04
112054,2.03E+04
112055,3.80E+04
112056,1.90E+04
112057,6.77E+04
112058,5.19E+04
112059,6.66E+03
112060,7.13E+04
112061,3.70E+04
112062,9.26E+04
112063,2.68E+04
112064,5.38E+04
112065,1.02E+05
112066,1.27E+05
112067,6.28E+04
112068,3.00E+04
112069,4.27E+04
112070,7.67E+04
112071,8.41E+04
112072,3.69E+04
112073,5.64E+04
112074,3.12E+04
112075,1.73E+04
112076,1.10E+05
112077,2.52E+04
112078,7.30E+04
112079,3.12E+04
112080,1.89E+04
112081,5.95E+04
112082,7.77E+04
112083,1.53E+05
112084,4.10E+04
112085,7.11E+04
112086,1.27E+04
112087,8.73E+04
112088,6.06E+04
112089,4.68E+04
112090,4.50E+04
112091,9.56E+04
112092,8.33E+04
112093,3.74E+04
112094,2.10E+04
112095,5.22E+04
112096,4.28E+03
112097,5.31E+04
112098,4.58E+04
112099,9.30E+04
112100,3.33E+04
112101,4.61E+04
112102,1.04E+05
112103,4.63E+04
112104,6.79E+04
112105,5.53E+04
112106,9.95E+04
112107,6.79E+04
112108,1.07E+05
112109,9.05E+04
112110,2.66E+04
112111,3.77E+04
112112,7.38E+04
112113,2.82E+04
112114,2.73E+04
112115,4.68E+04
112116,1.22E+05
112117,3.27E+04
112118,3.85E+04
112119,4.55E+04
112120,7.70E+04
112121,4.54E+04
112122,9.37E+04
112123,9.26E+04
112124,9.31E+04
112125,8.27E+04
